section,placeholder_text_verbatim,category,notes
V-C,"lowest Brier score at [k of 6] horizons",B,
V-C,"reliability diagrams show ensemble probabilities [well calibrated / over- or under-confident]",C,
V-D,"nDCG@10=[R] (95% CI [lo,hi]) at 48h",B,
V-D,"exceeds det/P90 baselines by [..] and [..] (Holm-adjusted p=[..])",B,
V-D,"advantage [grows with horizon / pattern as observed]",C,
V-D,"Recall@10: [..] of ten highest-priority regions identified",B,
V-E,"runtime scales [linearly, slope [..] on log-log axes]",B,
V-E,"peak memory [flat in M at [..] GB]",B,
V-E,"full integration completes in [T] [s/min]",B,
V-E,"[well within] one forecast cycle",C,operational interpretation of T vs update interval
VI-A,"[REPRESENTATION] strongest tradeoff, coverage [X], area [A] km2; vs [comparison]: [Y% smaller/larger] at [similar/higher/lower] coverage",C,
VI-A,"[METHOD A]/[METHOD B] coverage-vs-sharpness tradeoff description",C,
VI-A,"interpretive sentence on anisotropic dispersion",C,
VI (RQ2 body),"[K of 6] horizons Brier improvement narrative",C,
VI (RQ2 body),"[short horizons] binary matches/outperforms graded probabilities",C,
VI-B,"P90 overestimation magnitude [...at...]",C,
VI-B,"deterministic [underestimation/high variance/mixed bias]",C,
VI-B,"[Describe frozen result] -- nuanced bias pattern",C,
VI-C,"nDCG@10 improvement from [DET/P90 value] to [ENS value] narrative",C,
VI-C,"[insert result-specific interpretation if nDCG improves but Spearman does not, or vice versa]",C,
VI-D,"[describe frozen horizon pattern]; advantage [short]->[48/72]h; peaks near [h]h; declines at 96h -- OR no monotone effect variant",C,
VI-E,"peak memory [approximately independent of M / describe result]",C,
VI-E,"scaling departs from linear at [setting] where [memory/cache/I-O/other] dominates",C,
VI-E,"pipeline requires [T] for [M] members over [N] spatial elements; relative to [cycle duration]: [operational interpretation]",C,
VI-G(f),"evaluation scope: [N] cyclones from [basin/year range]",A,restates IV-A values
VI-I,"Discussion Summary: [support/partial support/limited support]; [headline RQ1-3 result]; [important null result or limitation]",C,written last, after all tables final
VII,"[REPRESENTATION] P90 coverage [COVERAGE], area [AREA] km2",C,
VII,"member-level weighting [reduced/did not significantly reduce] error by [X%] at [H]h and other horizons",C,
VII,"nDCG@10 of [R] at 48h vs [BASELINE VALUES]",C,
VII,"scalability showed [approximately linear/observed] growth",C,
VII,"[support/partially support/place limits on] hypothesis",C,
References,"refs [12],[13],[15],[16],[18],[19] marked vERIFY (author list/pages/DOI/venue/citation choice unconfirmed)",A,not a result placeholder but blocks submission; needs manual citation verification, separate from this pipeline
